Player,TEAM,AGE,GP,W,L,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM
Derrick Williams,CLE,25,48,16,32,16,60.2,39.8,52.4,14.3,28.6,19,19,13.3,38.1,70.1,29.9,96.4,3.6,77.1,22.9
Devin Booker,PHX,20,78,24,54,35,71.7,28.3,53.2,22.9,25.6,22.4,21.3,18,30.2,33.3,66.7,76.2,23.8,43.7,56.3
Devin Harris,DAL,34,63,28,35,16.6,48.3,51.7,34.5,6.3,40.9,15.3,24.6,21.7,28.2,49.3,50.7,82.1,17.9,63.8,36.2
Dewayne Dedmon,SAS,27,74,55,19,17.5,100,0,83.2,4.2,0,7.9,16.8,20.2,79.1,71.1,28.9,0,0,71.1,28.9
Deyonta Davis,MEM,20,35,23,12,6.5,100,0,82.8,3.4,0,1.7,17.2,22.4,79.3,66.7,33.3,0,0,66.7,33.3
Diamond Stone,LAC,20,7,6,1,3.5,100,0,60,40,0,0,40,0,20,100,0,0,0,100,0
Dion Waiters,MIA,25,46,27,19,30.1,67.6,32.4,53.8,17,35,13.3,11.2,14.3,36.8,19.4,80.6,80,20,37.7,62.3
Dirk Nowitzki,DAL,38,53,23,30,26.4,68.8,31.2,55.9,40.9,31.3,3.7,12.8,13.1,15,76.1,23.9,100,0,82.6,17.4
Domantas Sabonis,OKC,20,79,45,34,20.1,66.7,33.3,59,13.5,32.8,8.3,8.3,15.3,45.4,62.2,37.8,100,0,72.4,27.6
Donatas Motiejunas,NOP,26,32,15,17,13.7,65,35,60.3,1.5,24.3,16.9,15.4,13.2,58.8,70.7,29.3,100,0,76.9,23.1
Dorian Finney-Smith,DAL,23,79,32,47,20,42.6,57.4,38.5,4.1,47.9,14.2,13.6,21.9,34.3,66.2,33.8,98.1,1.9,80.7,19.3
Doug McDermott,OKC,25,66,35,31,22.8,58,42,49,18.2,39,10.5,12,11,30.7,76.6,23.4,98.7,1.3,84.2,15.8
