Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,2PM,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,DD2 RANK,TD3 RANK,+/- RANK
Pascal Siakam,TOR,23,54,34,20,15.4,4.1,1.8,3.6,50.3,0,0.1,1.9,16.7,0.4,0.6,68.8,1.1,2.1,3.2,0.3,0.6,0.5,0.8,2,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Connaughton,POR,24,37,17,20,6.6,1.7,0.6,1.3,49,0.2,0.5,0.5,47.4,0.2,0.2,77.8,0.3,0.8,1.1,0.5,0.4,0.1,0.1,0.5,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Patricio Garino,ORL,23,3,1,2,6.5,0,0,1.7,0,0,1,0.0,0,0,0,0,0.3,0.7,1,0,0,0,0,0.3,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Beverley,HOU,28,66,45,21,30.7,9.5,3.4,8.1,42.2,1.6,4.3,1.8,38.4,1.1,1.4,77.2,1.4,4.4,5.8,4.2,1.5,1.5,0.4,3.3,5,0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick McCaw,GSW,21,69,56,13,14.8,3.8,1.4,3.2,43.3,0.6,1.7,0.9,33.9,0.4,0.5,77.1,0.3,1.1,1.4,1.1,0.5,0.5,0.2,0.9,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Patterson,TOR,28,64,41,23,24.7,6.9,2.4,6,39.9,1.5,3.9,0.9,36.9,0.7,0.9,71.7,1,3.6,4.6,1.2,0.6,0.6,0.4,1.9,1,0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
Patty Mills,SAS,28,78,60,18,22,9.6,3.4,7.8,43.9,1.8,4.5,1.6,41,0.8,1,82.5,0.3,1.5,1.8,3.5,1.2,0.8,0,1.4,1,0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
Pau Gasol,SAS,36,62,47,15,25.6,12.5,4.8,9.4,50.8,0.9,1.6,3.9,53.5,2.1,2.9,70.3,1.7,6.1,7.8,2.4,1.3,0.4,1.1,1.7,11,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
Paul George,IND,26,73,37,36,35.8,23.5,8.2,17.9,45.8,2.6,6.5,5.7,39.1,4.5,5.1,89.7,0.8,5.8,6.6,3.3,3,1.6,0.4,2.8,10,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Millsap,ATL,32,68,39,29,34.1,18.2,6.3,14.1,44.2,1.1,3.5,5.1,31.3,4.6,6,76.8,1.6,6.1,7.7,3.7,2.3,1.3,0.9,2.7,19,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Pierce,LAC,39,23,14,9,11.7,3.1,1,2.7,38.1,0.6,1.7,0.5,34.2,0.4,0.5,83.3,0,2,2,0.4,0.7,0.2,0.2,1.7,0,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Zipser,CHI,23,42,19,23,18.8,5,1.8,4.8,38.5,0.6,2.1,1.3,30.3,0.7,1,77.5,0.4,2.3,2.6,0.7,0.9,0.3,0.4,1.7,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre Jackson,DAL,25,8,4,4,10.6,4.4,1.6,4.9,33.3,0.4,1.4,1.3,27.3,0.8,0.9,85.7,0.1,1,1.1,2.4,0.4,0.3,0,0.6,0,0,6.9,,,,,,,,,,,,,,,,,,,,,,,,,
PJ Tucker,TOR,31,80,34,46,27.9,6.8,2.5,6,41.5,0.9,2.4,#N/A,35.9,0.9,1.2,77.4,1.5,4.4,5.9,1.2,0.8,1.5,0.2,2.4,3,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Acy,BKN,26,38,11,27,14.7,5.8,1.8,4.5,41.2,1,2.4,0.9,41.1,1.2,1.6,75,0.5,2.5,3,0.5,0.6,0.4,0.4,1.8,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Quinn Cook,NOP,24,12,8,4,11.8,5.4,2.3,4.3,53.8,0.8,1.8,1.6,40.9,0,0.3,0,0,0.5,0.5,1.8,0.8,0.2,0,0.8,0,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Rajon Rondo,CHI,31,68,33,35,26.8,7.8,3.3,8.1,40.8,0.7,1.9,2.6,36.6,0.4,0.7,60,1,4.1,5.1,6.7,2.5,1.4,0.2,2.1,6,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Rakeem Christmas,IND,25,28,13,15,7.8,2.1,0.7,1.5,44.2,0,0,0.7,0,0.7,1,74.1,0.9,1.1,2,0.1,0.3,0.1,0.2,1.3,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Ramon Sessions,CHA,30,50,23,27,16.2,6.2,2,5.3,38,0.4,1.2,1.6,33.9,1.8,2.4,77.1,0.2,1.2,1.5,2.6,0.9,0.5,0.1,0.9,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
