Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,2PM,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,DD2 RANK,TD3 RANK,+/- RANK
Jimmy Butler,CHI,27,74,38,36,37.1,24,7.5,16.5,45.6,1.2,3.3,6.3,36.9,7.7,8.9,86.4,1.7,4.5,6.2,5.5,2.1,1.8,0.4,1.5,15,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
JJ Redick,LAC,32,76,48,28,28.2,15.1,5.1,11.4,44.6,2.6,6,#N/A,43.3,2.3,2.6,88.9,0.1,2,2.2,1.4,1.3,0.7,0.2,1.6,0,0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
Joakim Noah,NYK,32,46,17,29,22.1,5,2.2,4.4,49,0,0,2.2,0,0.7,1.7,43.6,3.5,5.2,8.8,2.2,1.3,0.7,0.8,2.8,5,0,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Jodie Meeks,ORL,29,34,13,21,20.7,9.3,2.9,7.2,41,1.6,3.8,1.3,41.1,1.8,2.1,88.6,0.1,2.1,2.3,1.3,0.9,1,0.1,1.1,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Harris,BKN,25,52,10,42,21.9,8.2,3,7,42.5,1.6,4.3,1.3,38.5,0.7,0.9,71.4,0.3,2.5,2.8,1,1.1,0.6,0.2,2.3,0,0,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Ingles,UTA,29,80,49,31,23.9,7,2.5,5.4,45.5,1.5,3.3,1.0,44.6,0.6,0.9,73.5,0.3,2.9,3.2,2.7,1.3,1.2,0.1,2,0,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Johnson,UTA,35,76,45,31,23.7,9.1,3.5,8,43.4,1.3,3.3,2.1,40.3,0.8,1,83.8,0.4,2.7,3.1,1.8,0.9,0.5,0.2,1.2,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Young,IND,24,33,18,15,4.1,2.1,0.8,2.2,36.1,0.2,0.7,0.6,21.7,0.3,0.5,73.3,0,0.5,0.5,0.5,0.2,0.1,0,0.2,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Anthony,SAS,34,19,15,4,6.4,1.3,0.5,0.8,62.5,0,0,0.5,0,0.3,0.4,62.5,0.4,1.2,1.6,0.2,0.2,0.1,0.3,0.6,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Bolomboy,UTA,23,11,7,4,3.4,1.8,0.7,1.2,61.5,0.1,0.3,0.7,33.3,0.3,0.5,50,0.1,0.9,1,0.2,0.2,0.1,0.1,0.1,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,PHI,23,31,13,18,25.4,20.2,6.5,13.8,46.6,1.2,3.2,5.3,36.7,6.2,7.9,78.3,2,5.9,7.8,2.1,3.8,0.9,2.5,3.6,9,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Joffrey Lauvergne,CHI,25,68,39,29,14.2,5.5,2.1,4.9,43.8,0.5,1.4,1.6,34,0.7,1.1,63,1,2.5,3.6,1,0.8,0.4,0.1,1.2,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
John Henson,MIL,26,56,25,31,19.6,6.8,2.8,5.4,51.2,0,0,2.7,0,1.3,1.9,69.2,1.6,3.6,5.2,1,0.9,0.5,1.4,2.6,0,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,
John Jenkins,PHX,26,4,0,4,3.2,1.8,0.5,1.3,40,0.3,0.5,0.3,50,0.5,0.5,100,0,0.3,0.3,0.3,0,0,0,0,0,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
John Lucas III,MIN,34,5,3,2,2.1,0.4,0.2,0.8,25,0,0.2,0.2,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
John Wall,WAS,26,78,48,30,36.4,23.1,8.3,18.4,45.1,1.1,3.5,7.2,32.7,5.4,6.8,80.1,0.8,3.4,4.2,10.7,4.1,2,0.6,1.9,50,0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny O'Bryant III,CHA,23,11,4,7,7.3,3.5,1.4,2.7,50,0.3,0.5,1.1,50,0.5,0.5,83.3,0.8,0.9,1.7,0.5,0.5,0,0.1,0.9,0,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Leuer,DET,27,73,34,39,26.3,10.5,4.2,8.8,48.4,0.7,2.3,3.5,29.5,1.3,1.5,86.5,1.4,4.1,5.4,1.5,0.9,0.4,0.4,2,3,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Jerebko,BOS,30,76,49,27,16,3.9,1.5,3.4,44,0.6,1.7,0.9,34.4,0.3,0.4,75.8,0.7,2.7,3.4,0.9,0.5,0.3,0.2,1.6,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Valanciunas,TOR,24,79,49,30,26,12,4.9,8.8,55.6,0,0,4.9,0,2.2,2.7,81.1,2.8,6.7,9.5,0.7,1.3,0.5,0.8,2.7,29,0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Gibson,DAL,29,17,4,13,13.6,6.2,2.1,5.6,36.8,0.9,2.6,1.2,33.3,1.2,1.7,72.4,0.1,1.2,1.3,1.5,1.2,0.5,0,1.2,0,0,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Simmons,SAS,27,76,60,16,18,6.2,2.3,5.4,42.1,0.4,1.3,1.9,29.7,1.3,1.7,76,0.3,1.8,2.1,1.6,1,0.6,0.3,1.9,0,0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Clarkson,LAL,24,80,25,55,29.2,14.7,5.8,13.1,44.3,1.4,4.3,4.4,32.8,1.7,2,81,0.6,2.4,3,2.6,2,1.1,0.1,1.8,0,0,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Crawford,NOP,28,17,8,9,23.4,14.2,5.5,11.4,48.7,1.9,5.1,3.6,38.4,1.2,1.5,76.9,0.2,1.5,1.8,2.7,1.2,0.5,0.1,1.7,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Farmar,SAC,30,2,1,1,17.7,6,2,6,33.3,2,4.5,0.0,44.4,0,0,0,0.5,1,1.5,4.5,1.5,1,0,0.5,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Hill,MIN,29,7,2,5,6.7,1.7,0.7,1.9,38.5,0,0,0.7,0,0.3,0.3,100,1.1,0.9,2,0,0.6,0.1,0,1.3,0,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan McRae,CLE,26,37,26,11,10.4,4.4,1.6,4.1,38.7,0.5,1.4,1.1,35.3,0.7,0.9,79.4,0.2,0.9,1.1,0.5,0.4,0.2,0.2,0.8,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mickey,BOS,22,25,9,16,5.6,1.5,0.6,1.4,44.1,0,0,0.6,0,0.3,0.6,57.1,0.5,0.8,1.4,0.3,0.4,0.1,0.2,0.5,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Calderon,ATL,35,39,14,25,12.6,3.1,1.2,3.1,38.5,0.4,1.5,0.9,29.3,0.3,0.3,91.7,0.4,1.4,1.8,2.1,0.9,0.3,0,0.8,0,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Huestis,OKC,25,1,0,1,6.9,7,3,4,75,1,2,2.0,50,0,0,0,2,2,4,1,0,0,0,0,0,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,
Josh McRoberts,MIA,30,22,6,16,17.3,4.9,2,5.4,37.3,0.6,1.4,1.4,41.9,0.3,0.4,66.7,1,2.3,3.4,2.3,1,0.5,0.2,1.4,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Richardson,MIA,23,51,21,30,30,9.9,3.7,9.5,38.6,1.4,4.2,2.4,32.6,1.2,1.5,77.6,0.6,2.5,3.1,2.6,1.2,1.1,0.7,2.5,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
JR Smith,CLE,31,39,25,14,28.8,8.8,3.1,8.7,35.5,2.4,6.7,0.7,35.8,0.3,0.4,66.7,0.4,2.3,2.7,1.4,0.6,0.9,0.3,1.8,0,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Jrue Holiday,NOP,26,65,31,34,33,15.5,6.1,13.4,45.2,1.5,4.3,4.6,36.1,1.8,2.6,70.5,0.7,3.3,4,7.3,2.9,1.5,0.7,2,16,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Hernangomez,DEN,21,60,28,32,13,4.7,1.5,3.3,46.5,0.7,1.7,0.9,42.4,0.9,1.2,75.7,0.7,2.2,2.9,0.5,0.5,0.5,0.2,1,1,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Randle,LAL,22,72,23,49,29.1,13.2,5.1,10.5,48.5,0.2,0.9,4.9,27,2.8,3.8,72.2,2.1,6.6,8.7,3.6,2.4,0.7,0.5,3.4,18,3,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Anderson,PHI,23,73,24,49,16,6.8,2.4,5.8,41.5,0.8,2.6,1.7,29.3,1.3,1.6,78.8,0.9,2.4,3.3,0.9,0.8,0.5,0.3,1.4,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Hamilton,BKN,27,62,14,48,18.2,6.8,2.7,5.8,45.8,0.9,2.8,1.9,31.2,0.6,0.8,75,1.1,2.9,4,0.8,0.7,0.4,0.7,1.4,1,0,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Harper,PHI,27,3,1,2,10.4,4,1.7,4,41.7,0.7,2.3,1.0,28.6,0,0,0,0.7,1,1.7,0.7,1.3,0,0,0.7,0,0,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Holiday,NYK,28,81,30,51,20,7.5,2.8,6.5,43,1.2,3.3,1.7,35.4,0.7,0.9,82.2,0.3,2.4,2.7,1.2,0.8,0.8,0.4,1.3,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Justise Winslow,MIA,21,18,4,14,34.7,10.9,4.4,12.5,35.6,0.4,1.9,4.1,20,1.6,2.6,61.7,1.3,3.9,5.2,3.7,1.8,1.4,0.3,2.9,1,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Jusuf Nurkic,POR,22,65,34,31,21.4,10.2,4.2,8.2,50.7,0,0,4.2,0,1.8,3.2,57.1,2.4,4.8,7.2,1.9,2.2,0.8,1.1,2.5,13,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Karl-Anthony Towns,MIN,21,80,31,49,36.9,25.1,9.8,18,54.1,1.2,3.3,8.5,36.2,4.4,5.3,83,3.6,8.5,12.2,2.7,2.6,0.7,1.3,3,60,1,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Kawhi Leonard,SAS,25,72,54,18,33.7,25.8,8.7,17.9,48.4,2,5.3,6.6,37.9,6.5,7.3,87.9,1.1,4.8,5.9,3.6,2.1,1.8,0.8,1.7,9,0,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
Kay Felder,CLE,22,41,25,16,9.2,4,1.5,3.8,38.7,0.2,0.5,1.3,31.8,0.9,1.2,71.4,0.1,0.9,1,1.3,0.7,0.4,0.2,0.9,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Olynyk,BOS,25,73,47,26,20.6,9,3.5,6.7,51.6,0.9,2.5,2.6,34.9,1.2,1.7,72.7,1,3.8,4.8,1.9,1.3,0.6,0.4,2.7,2,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Oubre Jr.,WAS,21,77,46,31,20,6.3,2.3,5.5,42.9,0.7,2.4,1.7,29,0.9,1.2,75.8,0.8,2.5,3.3,0.6,0.6,0.7,0.2,2.5,1,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Kemba Walker,CHA,26,79,36,43,34.7,23.2,8.1,18.3,44.4,3,7.6,5.1,39.9,3.8,4.5,84.7,0.6,3.3,3.9,5.5,2.1,1.1,0.3,1.5,8,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Faried,DEN,27,61,29,32,21.2,9.6,3.7,6.8,54.8,0,0.1,3.7,0,2.1,3.1,69.3,3,4.6,7.6,0.9,1,0.7,0.7,2,11,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Kent Bazemore,ATL,27,72,38,34,27,11,4.1,9.9,40.8,1.3,3.6,2.8,34.4,1.7,2.3,70.8,0.6,2.5,3.2,2.4,1.7,1.3,0.7,2.3,1,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
Kentavious Caldwell-Pope,DET,24,74,33,41,33.4,13.8,4.9,12.2,40.1,2,5.7,#N/A,35.3,2,2.4,83.2,0.7,2.5,3.3,2.6,1.1,1.2,0.2,1.5,1,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,GSW,28,60,50,10,33.5,25.2,8.9,16.6,53.5,1.9,5,7.0,37.3,5.5,6.3,87.8,0.7,7.6,8.3,4.8,2.2,1.1,1.6,1.9,22,1,11.3,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Love,CLE,28,59,40,19,31.3,18.9,6.1,14.4,42.6,2.4,6.5,3.8,37.6,4.2,4.9,86.8,2.5,8.6,11.1,2,2.1,0.9,0.4,2,40,0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Seraphin,IND,27,47,21,26,11.2,4.4,2.1,3.8,54.4,0,0,2.2,0,0.2,0.4,61.1,0.8,2,2.9,0.5,0.6,0.1,0.4,1.3,0,0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Kevon Looney,GSW,21,53,44,9,8.4,2.5,1.1,2,52.3,0,0.2,1.0,22.2,0.4,0.6,61.8,0.8,1.5,2.3,0.5,0.3,0.3,0.3,1.2,0,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Khris Middleton,MIL,25,28,18,10,30.5,14.7,5.2,11.6,44.8,1.5,3.5,3.6,41.4,2.9,3.3,87.9,0.4,3.8,4.1,3.3,2.2,1.5,0.3,2.8,0,0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
KJ McDaniels,BKN,24,47,28,19,10,4,1.5,3.3,47.1,0.4,1.3,1.2,32.2,0.6,0.7,84.4,0.3,1.2,1.5,0.3,0.6,0.4,0.3,1,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Klay Thompson,GSW,27,77,65,12,34.1,22.5,8.3,17.7,46.9,3.5,8.3,4.8,41.6,2.4,2.8,85.5,0.6,3.1,3.7,2.1,1.7,0.8,0.5,1.8,0,0,10.3,,,,,,,,,,,,,,,,,,,,,,,,,
Kosta Koufos,SAC,28,71,27,44,20,6.6,3,5.5,55.1,0,0,3.0,0,0.5,0.9,61.3,1.7,4,5.7,0.7,0.9,0.5,0.7,2.4,4,0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Kris Dunn,MIN,23,76,30,46,16.9,3.7,1.5,3.9,37.7,0.3,0.9,1.2,29.6,0.5,0.8,61,0.3,1.8,2.2,2.3,1.1,1,0.4,2.3,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Kris Humphries,ATL,32,54,30,24,12,4.6,1.6,3.7,41.8,0.3,0.9,1.2,36.7,1.1,1.4,80.3,1,2.6,3.6,0.5,0.5,0.2,0.4,1.2,0,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Kristaps Porzingis,NYK,21,66,26,40,32.8,18.1,6.7,14.9,45,1.7,4.8,5.0,35.7,3,3.8,78.6,1.7,5.5,7.2,1.5,1.8,0.7,2,3.7,12,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Anderson,SAS,23,70,53,17,14,3.3,1.3,2.8,44.9,0.2,0.5,1.1,37.8,0.6,0.8,77.8,0.5,2.4,2.9,1.2,0.5,0.7,0.4,0.9,0,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Korver,CLE,36,65,33,32,26.3,10.1,3.6,7.7,46.4,2.4,5.4,1.1,45,0.6,0.6,90,0.1,2.6,2.7,1.7,1,0.5,0.3,1.6,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Lowry,TOR,31,59,35,24,37.7,22.6,7.2,15.4,46.4,3.3,7.8,3.9,41.5,5,6.1,82.2,0.8,4,4.8,7,2.9,1.5,0.3,2.9,11,1,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle O'Quinn,NYK,27,78,28,50,15.6,6.3,2.7,5.2,52.1,0,0.2,2.7,6.3,0.8,1.1,77.1,2,3.6,5.6,1.5,1,0.4,1.3,2.2,6,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Singler,OKC,28,30,14,16,11,2.3,0.9,2.2,41.5,0.2,1,0.8,19.4,0.3,0.4,81.8,0.3,1,1.3,0.3,0.4,0.2,0.1,0.8,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Wiltjer,HOU,24,13,11,2,3.3,1,0.3,1.1,28.6,0.3,1,0.0,30.8,0.1,0.2,50,0.3,0.5,0.8,0.2,0.4,0.2,0.1,0.3,0,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrie Irving,CLE,25,72,47,25,35.1,25.2,9.3,19.7,47.3,2.5,6.1,6.9,40.1,4.1,4.6,90.5,0.7,2.5,3.2,5.8,2.5,1.2,0.3,2.2,8,0,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Patterson,ATL,25,5,1,4,8.1,1.8,0.6,3,20,0.2,1.2,0.4,16.7,0.4,0.6,66.7,0.2,1.2,1.4,1.2,0.8,0.2,0,1.2,0,0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,SAS,31,70,52,18,32.6,17.3,6.9,14.7,47.3,0.3,0.8,6.6,42.6,3.1,3.8,81,2.4,4.9,7.3,2,1.4,0.6,1.2,2.2,18,0,4,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Stephenson,IND,26,16,6,10,19.9,7,3.1,6.6,46.2,0.4,1.2,2.7,31.6,0.5,0.8,66.7,0.2,2.3,2.5,3,1.4,0.3,0.1,1.8,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
